0.000000e+00 1.000000e+00 0.
1.766465e+00 9.970104e-01 0.
3.532930e+00 9.920397e-01 0.
5.299396e+00 9.843122e-01 0.
7.065861e+00 9.737491e-01 0.
8.832326e+00 9.603617e-01 0.
1.059879e+01 9.441971e-01 0.
1.236526e+01 9.253264e-01 0.
1.413172e+01 9.038417e-01 0.
1.589819e+01 8.798549e-01 0.
1.766465e+01 8.534980e-01 0.
1.943112e+01 8.249231e-01 0.
2.119758e+01 7.943028e-01 0.
2.296405e+01 7.618297e-01 0.
2.473051e+01 7.277159e-01 0.
2.649698e+01 6.921922e-01 0.
2.826344e+01 6.555060e-01 0.
3.002991e+01 6.179193e-01 0.
3.179637e+01 5.797057e-01 0.
3.356284e+01 5.411470e-01 0.
3.532930e+01 5.025291e-01 0.
3.709577e+01 4.641378e-01 0.
3.886223e+01 4.262535e-01 0.
4.062870e+01 3.891468e-01 0.
4.239517e+01 3.530730e-01 0.
4.416163e+01 3.182675e-01 0.
4.592810e+01 2.849490e-01 0.
4.769456e+01 2.533764e-01 0.
4.946103e+01 2.237142e-01 0.
5.122749e+01 1.960236e-01 0.
5.299396e+01 1.703359e-01 0.
5.476042e+01 1.466823e-01 0.
5.652689e+01 1.251840e-01 0.
5.829335e+01 1.060088e-01 0.
6.005982e+01 8.919264e-02 0.
6.182628e+01 7.465478e-02 0.
6.359275e+01 6.219637e-02 0.
6.535921e+01 5.153613e-02 0.
6.712568e+01 4.243049e-02 0.
6.889214e+01 3.466571e-02 0.
7.065861e+01 2.808777e-02 0.
7.242507e+01 2.258775e-02 0.
7.419154e+01 1.806275e-02 0.
7.595800e+01 1.440688e-02 0.
7.772447e+01 1.149430e-02 0.
7.949093e+01 9.190900e-03 0.
8.125740e+01 7.370688e-03 0.
8.302387e+01 5.923104e-03 0.
8.479033e+01 4.764193e-03 0.
8.655680e+01 3.832790e-03 0.
8.832326e+01 3.081785e-03 0.
9.008973e+01 2.478103e-03 0.
9.185619e+01 1.994852e-03 0.
9.362266e+01 1.608173e-03 0.
9.538912e+01 1.298521e-03 0.
9.715559e+01 1.050459e-03 0.
9.892205e+01 8.516296e-04 0.
1.006885e+02 6.917646e-04 0.
1.024550e+02 5.628144e-04 0.
1.042214e+02 4.585782e-04 0.
1.059879e+02 3.741557e-04 0.
1.077544e+02 3.055772e-04 0.
1.095208e+02 2.497117e-04 0.
1.112873e+02 2.040472e-04 0.
1.130538e+02 1.666433e-04 0.
1.148202e+02 1.360365e-04 0.
1.165867e+02 1.110353e-04 0.
1.183532e+02 9.065605e-05 0.
1.201196e+02 7.403681e-05 0.
1.218861e+02 6.044016e-05 0.
1.236526e+02 4.928548e-05 0.
1.254190e+02 4.012751e-05 0.
1.271855e+02 3.261375e-05 0.
1.289520e+02 2.648752e-05 0.
1.307184e+02 2.152036e-05 0.
